,Date,Day,Month,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed ,Injured Min,Injured ,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Weekend
93,16,Saturday,February,2008,09 Safar 1429,Working Day,Weekend,,Swat,35.2227,72.4258,KPK,Mingora-army media center on saidu sharif road,Military,High,Closed,army media center and base near Gul Kadda,Military,,2.0,3.0,14.0,18.0,1.0,,District headquarters hospital saidu sharif,12.725,54.905,1
94,16,Saturday,February,2008,09 Safar 1429,Working Day,Weekend,evening,Kuram Agency ,35.2227,72.4258,FATA,PPP election office in Eidgah market of Parachinar bazar,Government,High,Closed,,Government official,,38.0,47.0,109.0,110.0,1.0,,Agency headquarter hospital,12.725,54.905,1
95,25,Monday,February,2008,18 Safar 1429,Working Day,,14:45:00,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi-R.A bazar mall road Sadar-nadira suift center,Mobile,High,Closed,near Surgeon-gernal car on signal,Military,,,8.0,20.0,30.0,1.0,4-5kg,1.CMH 2.MH 3.Contonment hospital 4. rwp general hospital 5. DHQ hospital,14.47,58.04600000000001,0
96,29,Friday,February,2008,22 Safar 1429,Working Day,,20:00:00,Swat,32.935,70.6688,KPK,SwatMingora DSP Funeral,Parks Grounds,Low,Open,,Police_Rangers,,38.0,45.0,40.0,100.0,1.0,,1.Saidu Shrif hospital,19.85,67.73,0
97,1,Saturday,March,2008,23 Safar 1429,Working Day,Weekend,,Bajaur Agency,34.8718,71.5249,FATA,Khar-jardar area,Mobile,High,Open,,Military,,,2.0,,23.0,1.0,,,19.375,66.875,1
98,2,Sunday,March,2008,24 Safar 1429,Holiday,Weekend,11:00:00,Dara Adam Khel,33.6854,71.5131,KPK,Dara adamkhel Jirga ,Parks Grounds,Low,Open,peace Jirga ,Anti_Militants,,40.0,43.0,50.0,60.0,1.0,,1.Lady Reading Hospital 2.Hayatabad medical Complex,19.455,67.01899999999999,1
99,4,Tuesday,March,2008,26 Safar 1429,Working Day,,1:05PM,Lahore,31.5451,74.3407,Punjab,Navy war college mall road Lahore,Military,High,Closed,Navy college ,Military,,4.0,8.0,15.0,24.0,2.0,,1.CMH 2.Service hospital,20.655,69.179,0
100,11,Tuesday,March,2008,03 Rabi’ al-Awwal 1429,Working Day,,9:15 AM to 9:20:00 AM,Lahore,31.5451,74.3407,Punjab,FIA building Temple road near The Mall-near regal chowk,Government,High,Closed,,Government Official,,26.0,31.0,175.0,200.0,1.0,50kg,1.Ganga Ram Hospita 2.Mayo Hospital,21.295,70.331,0
101,11,Tuesday,March,2008,03 Rabi’ al-Awwal 1429,Working Day,,09:20:00,Lahore,31.5451,74.3407,Punjab,Bungalow no 83/F Model Town-an advertising agency office,Residential,Low,Closed,,Civilian,,3.0,6.0,,12.0,1.0,30kg ,Ganga Ram hospital,21.295,70.331,0
102,17,Monday,March,2008,09 Rabi’ al-Awwal 1429,Working Day,,,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Lines ,Police Rangers,High,Closed,,Police_Rangers,,2.0,3.0,5.0,7.0,1.0,,Saidu Sharif hospital,22.5,72.5,0
103,20,Thursday,March,2008,12 Rabi’ al-Awwal 1429,Holiday,Eid Milad un-Nabi,15:00:00,South Waziristan,32.3202,69.8597,FATA,Army Camp at Zari noor-Wana,Military,High,Closed,,Military,,,5.0,9.0,11.0,1.0,,Military Hospital,18.655,65.579,0
104,1,Thursday,May,2008,25 Rabi’ al-Thani 1429,Holiday,Labour Day,Thursday Morning,Khyber Agency,34.0211,71.2874,FATA,Takia-Bar Qambarkhel Mosque,Religious,Medium,Closed,,Religious,Sunni,,2.0,17.0,30.0,1.0,,,28.985,84.17299999999999,0
105,6,Tuesday,May,2008,01 Jumada al-Ula 1429,Working Day,,8:40:00 AM/9:30:00 AM,Bannu,32.935,70.6688,KPK,Bannu Police & Rangers  check post,Police Rangers,High,Open,,Police_Rangers,,3.0,7.0,10.0,15.0,1.0,,1.DHQ 2.CMH,28.62,83.516,0
106,9,Friday,May,2008,04 Jumada al-Ula 1429,Working Day,,Friday Night,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Station ,Police Rangers,High,Closed,,Police_Rangers,,,1.0,3.0,4.0,1.0,,1.district headquarters hospital saidu sharif,23.985,75.173,0
107,18,Sunday,May,2008,13 Jumada al-Ula 1429,Holiday,Weekend,20:00:00,Mardan,34.1982,72.0444,KPK,Military run bakery near a punjab regiment center in Mardan cantt,Military,High,Closed,,Military,,11.0,13.0,23.0,25.0,1.0,,1.CMH 2.District Headqurtar Hospital,29.61,85.29799999999999,1
108,2,Monday,June,2008,28 Jumada al-Ula 1429,Working Day,,1:00:00 PM/1:05PM,Islamabad,33.718,73.0718,Capital,IslamabadDanish Embassy,Foreign,High,Closed,,Foreigner,Jews,,8.0,25.0,30.0,1.0,50kg,1.PIMS 2.Federal Government Service Hospital,26.5,79.7,0
109,6,Sunday,July,2008,03 Rajab 1429,Holiday,Weekend,7:50:00/7:45:00 PM,Islamabad,33.718,73.0718,Capital,Melody market near lal masjid,Market,Low,Open,,Police_Rangers,,15.0,20.0,20.0,47.0,1.0,5 kg,1.PIMS 2.Poly Clinic 3.Federal Government Service Hospital,26.86,80.348,1
110,13,Sunday,July,2008,10 Rajab 1429,Holiday,Weekend,,D.G Khan,31.8238,70.9095,KPK,Shiite gathering -Near kotli imam Hussain,Religious,Medium,Closed,,Religious,Shiite,,1.0,3.0,4.0,1.0,,,31.075,87.935,1
111,13,Wednesday,August,2008,12 Sha’ban 1429,Working Day,,23:35:00,Lahore,31.5451,74.3407,Punjab,neaar Iqbal Town Police & Rangers Station Lahoreat dubai CHOWK SIGNAL,Police Rangers,High,Open,,Police_Rangers,,8.0,9.0,20.0,35.0,1.0,,1.Sheikh Zahid Hospital,25.835,78.503,0
112,19,Tuesday,August,2008,18 Sha’ban 1429,Working Day,,13:30:00,D.G Khan,31.8238,70.9095,KPK,Distric headquarter hospital,Hospital,Low,Closed,during the shiite protest against the death of shiite govt official,Civilian,Shiite,30.0,32.0,33.0,55.0,1.0,,1.Combined Military Hospital,31.495,88.691,0
113,21,Thursday,August,2008,20 Sha’ban 1429,Working Day,,14:37:00,Rawalpindi,33.6058,73.0437,Punjab,Wah Cant Pakistn Ordinance Factories ,Military,High,Closed,,Government Official,,70.0,100.0,67.0,200.0,2.0,,pof hospital,28.89,84.00200000000001,0
114,23,Saturday,August,2008,22 Sha’ban 1429,Working Day,Weekend,07:45:00,Swat,35.2227,72.4258,KPK,Charbagh checkpost,Police Rangers,High,Open,,Police_Rangers,,7.0,15.0,,20.0,1.0,100Kg,1.Saidu sharif hospital,25.69,78.242,1
115,29,Friday,August,2008,28 Sha’ban 1429,Working Day,,07:00:00,Kohat,33.5833,71.4333,KPK,army base camp/emergency center near Kohattunnel,Military,High,Closed,,Military,,2.0,5.0,25.0,39.0,1.0,,1.CMH Kohat,27.705,81.869,0
116,6,Saturday,September,2008,06 Ramadhan 1429,Working Day,Weekend,,Peshawar,34.0043,71.5448,KPK,Zangali Checkpost on Kohatroad,Police Rangers,High,Open,,Police_Rangers,,30.0,35.0,70.0,90.0,1.0,150Kg,Lady Reading Hospital-Khyber teaching-Hayatabad complex,23.44,74.192,1
117,16,Tuesday,September,2008,16 Ramadhan 1429,Working Day,Ramadan,Half hour after aftar,Swat,35.2227,72.4258,KPK,Kabal check post ,Police Rangers,High,Open,,Police_Rangers,,2.0,10.0,,25.0,1.0,,,25.95,78.71,0
118,20,Saturday,September,2008,20 Ramadhan 1429,Working Day,Weekend,,North waziristan,32.9746,70.1456,KPK,military convoy on Miranshah road near Norak,Mobile,High,Open,,Military,,7.0,17.0,5.0,20.0,1.0,,1.CMH Bannu hospital,22.06,71.708,1
119,20,Saturday,September,2008,20 Ramadhan 1429,Working Day,Weekend,20:05:00,Islamabad,33.718,73.0718,Capital,IslamabadMarriott Hotal ,Hotel,Medium,Closed,,Foreigner,,40.0,60.0,200.0,300.0,1.0,1000 Kg,1.Poly Clinic  2. PIMS,24.41,75.938,1
120,22,Monday,September,2008,22 Ramadhan 1429,Working Day,Ramadan,,Swat,35.2227,72.4258,KPK,military security checkpost in Madian Town swat,Military,High,Open,,Military,,9.0,13.0,2.0,3.0,1.0,,,21.005,69.809,0
121,24,Wednesday,September,2008,24 Ramadhan 1429,Working Day,Ramadan,,Quetta,30.2095,67.0182,Balochistan,Quettacantt military Check post ,Military,High,Open,,Military,,1.0,14.0,22.0,25.0,1.0, 8 Kg,1.CMH Hospital 2.Civil Hospital,23.225,73.805,0
122,3,Friday,October,2008,03 Shawwal 1429,Holiday,Eid-ul-Fitar,16:00:00,Peshawar,34.0043,71.5448,KPK,wali bagh Charsadda,Residential,Medium,Closed,,Government Official,,4.0,5.0,,18.0,1.0,,1.District Hospital Charsadda,29.445,85.001,0
123,6,Monday,October,2008,06 Shawwal 1429,Working Day,,16:45:00,Bhakkar ,31.6216,71.065,Punjab,Bhakkar Rasheed Noranni MNA house,Residential,Medium,Closed,,Government Official,,22.0,26.0,60.0,100.0,1.0,,1.Nishtar Hospital Multan,29.025,84.245,0
124,9,Thursday,October,2008,09 Shawwal 1429,Working Day,,12:45:00,Islamabad,33.718,73.0718,Capital,IslamabadPolice & Rangers line-anti terrorist squad building,Police Rangers,High,Closed,lawmakers gathered for a secret security briefing,Police_Rangers,,,,6.0,12.0,1.0,60Kg,1. PIMS 2.Federal Government Services,24.17,75.506,0
125,9,Thursday,October,2008,09 Shawwal 1429,Working Day,,12:55:00,Khyber Agency,34.0211,71.2874,FATA,near michni post in landi kotal,Mobile,High,Open,,Foreigner,Christian,,0.0,,0.0,1.0,,,24.47,76.046,0
126,10,Friday,October,2008,10 Shawwal 1429,Working Day,,,Orakzai Agency,32.9746,70.1456,FATA,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,Parks Grounds,Low,Open,,Anti_Militants,Sunni,40.0,85.0,90.0,200.0,1.0,8 ft deep crater,1.KohatDvisional Headquarters Hospital  2.Gahluj hospital 3.Hospitals in Hangu and Kohat,20.58,69.044,0
127,16,Thursday,October,2008,16 Shawwal 1429,Working Day,,,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Station ,Police Rangers,High,Closed,,Police_Rangers,,,4.0,,27.0,1.0,,,19.835,67.703,0
128,26,Sunday,October,2008,26 Shawwal 1429,Holiday,Weekend,21:45:00,Mohmand agency ,32.9746,70.1456,FATA,Mohmad Agency-naqi Checkpost ,Military,High,Open,,Military,,11.0,10.0,,5.0,1.0,,1.Ghalaanai Hospital,15.35,59.63,1
129,29,Wednesday,October,2008,29 Shawwal 1429,Working Day,,14:15:00,Bannu,32.9861,70.6042,KPK,Militay checkpost cantoment area bannu,Military,High,Open,,Military,,,,,14.0,1.0,,1.Combined Military Hospital,22.09,71.762,0
130,31,Friday,October,2008,02 Dhul-Qi’dah 1429,Working Day,,13:30:00,Mardan,34.1982,72.0444,KPK,outside the office of Mardan DIG in malakand mardan road,Police Rangers,High,Closed,,Police_Rangers,,9.0,10.0,21.0,25.0,1.0,,district headquarter hospital,20.895,69.611,0
131,2,Sunday,November,2008,04 Dhul-Qi’dah 1429,Holiday,Weekend,09:00:00,South Waziristan,32.3202,69.8597,FATA,Zalai FC checkpost wana,Military,High,Open,,Military,,,8.0,,8.0,1.0,,,21.735,71.123,1
132,4,Tuesday,November,2008,06 Dhul-Qi’dah 1429,Working Day,,,Hangu,33.5351,71.0713,KPK,Doabba-checkpost near surpul on hangu tal road,Police Rangers,High,Open,,Police_Rangers,,,7.0,,4.0,1.0,40 kg,CMH Hangu,21.11,69.998,0
133,6,Thursday,November,2008,08 Dhul-Qi’dah 1429,Working Day,,,Swat,35.2227,72.4258,KPK,SwatPolice & Rangers check post ,Police Rangers,High,Open,,Police_Rangers,,,2.0,,10.0,1.0,,Syedo Shrif Hospital,16.485,61.673,0
134,6,Thursday,November,2008,08 Dhul-Qi’dah 1429,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Salarzai Jirga  in batmali area-Bajaur,Parks Grounds,Low,Open,tribes were discussing formation of lashkar,Anti_Militants,Sunni,16.0,23.0,31.0,45.0,1.0,,,16.705,62.068999999999996,0
135,11,Tuesday,November,2008,13 Dhul-Qi’dah 1429,Working Day,,,Peshawar,34.0043,71.5448,KPK,Qayyum Stadium ,Parks Grounds,Low,Open,Sport Stadium,Government Official,,3.0,4.0,13.0,20.0,1.0,7 or 8Kg,1.Lady Reading Hospital 2.Combined Military Hospital,19.17,66.506,0
136,12,Wednesday,November,2008,14 Dhul-Qi’dah 1429,Working Day,,10:00:00,Charsadda,34.1509,71.7359,KPK,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,Military,High,Closed,,Military,,,7.0,10.0,12.0,1.0,,,19.165,66.497,0
137,17,Monday,November,2008,19 Dhul-Qi’dah 1429,Working Day,,11:15:00,Swat,35.2227,72.4258,KPK,Security checkpost in gashgur area of  Khawazakhela,Military,High,Open,,Military,,,10.0,,8.0,1.0,,,14.075,57.335,0
138,20,Thursday,November,2008,22 Dhul-Qi’dah 1429,Working Day,,during maghrib prayer,Bajaur Agency,34.8718,71.5249,FATA,Mosque in Badaan area of mamund,Religious,Medium,Closed,maghrib prayer,Religious,Sunni,,9.0,,,1.0,,District hospital Bajur,14.17,57.506,0
139,28,Friday,November,2008,30 Dhul-Qi’dah 1429,Working Day,,,Buner,34.3943,72.6151,KPK,near Tarezi Chowk on the main Bannu-Kohatroad.,Mobile,High,Open,,Police_Rangers,,,9.0,,16.0,1.0,,,16.61,61.898,0
140,1,Monday,December,2008,03 Dhul-Hijjah 1429,Working Day,,Monday Morning,Swat,35.2227,72.4258,KPK,sangota checkpost in mingora,Military,High,Open,,Military,,,10.0,,50.0,1.0,,,15.45,59.81,0
141,3,Wednesday,December,2008,05 Dhul-Hijjah 1429,Working Day,,,Charsadda,34.1509,71.7359,KPK, Army Convoy passing from shabqadar,Mobile,High,Open,Army convoy ,Military,,5.0,6.0,8.0,10.0,1.0,,,15.815,60.467,0
142,5,Friday,December,2008,07 Dhul-Hijjah 1429,Working Day,,12:30:00pm,Orakzai Agency,32.9746,70.1456,KPK,bazar of Kalaia area of lower Orakzai angency,Market,Low,Open,,Civilian,,6.0,10.0,8.0,15.0,1.0,,Kalidya Hospital,12.465,54.437,0
143,9,Tuesday,December,2008,11 Dhul-Hijjah 1429,Working Day,,,Buner,34.3943,72.6151,KPK,in Dagar-an area of Buner ,Parks Grounds,Low,Open,,Government Official,,,1.0,,4.0,1.0,,,14.39,57.902,0
144,28,Sunday,December,2008,30 Dhul-Hijjah 1429,Holiday,Weekend,10:30:00,Buner,34.3943,72.6151,KPK,Buner Poling station-Infront of govt high school Shalbandi,Government,High,Open,,Government official,,34.0,37.0,,16.0,,,,11.41,52.538000000000004,1
145,4,Sunday,January,2009,07 Muharram 1430,Holiday,Weekend,19:30:00,D.G Khan,31.8238,70.9095,KPK,multan road in Deara Ismail Khan,Mobile,High,Open,muharram ul haram rally,Police_Rangers,,7.0,10.0,21.0,25.0,1.0, 10 kg ,Poly clinic multan,11.445,52.601000000000006,1
146,4,Sunday,January,2009,07 Muharram 1430,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,near a check-post in Officers’ Colony,Police Rangers,High,open,,Police_Rangers,,,1.0,,2.0,1.0,,,8.275,46.895,1
147,23,Friday,January,2009,26 Muharram 1430,Working Day,,,Swat,35.3833,72.1833,KPK,near Mingora town,Military,High,open,,Military,,,2.0,11.0,25.0,1.0,,,12.95,55.31,0
148,5,Thursday,February,2009,10 Safar 1430,Working Day,,6.35 pm,D.G Khan,30.05,70.6333,Punjab,Outside Jhar ali Imambargah-in muslim town area ,Religious,Medium,Open,,Religious,Shiite,30.0,32.0,48.0,55.0,1.0,,Local Hospital In DG Khan/Nishtar Hospital,15.105,59.18899999999999,0
149,5,Thursday,February,2009,10 Safar 1430,Working Day,,,Swat,35.3833,72.1833,KPK,near a Police & Rangers station in the Mingora town of SwatDistrict,Police Rangers,High,open,,Police_Rangers,,,12.0,,,,,,9.435,48.983000000000004,0
150,6,Friday,February,2009,11 Safar 1430,Working Day,,8.15 am,Khyber Agency,34.0211,71.2874,FATA,Peshawar-Torkham Highway near Teddi Bazar in Jamrood ,Mobile,Low,Open,struck the trailer when signalled to stop,Foreigner,Christian,,0.0,,7.0,1.0,,Jamrud Civil Hospital,10.32,50.576,0
151,9,Monday,February,2009,14 Safar 1430,Working Day,,,Bannu,32.9861,70.6042,KPK,Police & Rangers checkpost on Baran Bridge,Police Rangers,High,Open,,Police_Rangers,,,5.0,17.0,18.0,1.0,,DHQ Hospital Bannu  / PeshawarHospital,14.585,58.253,0
152,20,Friday,February,2009,25 Safar 1430,Working Day,,,D.G Khan,31.8238,70.9095,KPK,funeral procession on  Dera Bannu road-near shobra hotel,Parks Grounds,Low,Open,"Funeral Procession of
Imambargah Caretaker",Civilian,Shiite,30.0,36.0,150.0,200.0,1.0,,"1. DHQ D.I.Khan
2. Nishtar Hospital
3. Lady Reading Pesh",15.555,59.998999999999995,0
153,21,Saturday,February,2009,26 Safar 1430,Working Day,Weekend,,Bannu,32.9861,70.6042,KPK,Lakki town,Police Rangers,High,Open,,Police_Rangers,,,2.0,,,,,,14.42,57.956,1
154,23,Monday,February,2009,28 Safar 1430,Working Day,,,Bannu,32.9861,70.6042,KPK,Bannu miranshah road-House of DSP,Residential,Medium,Closed,,Police_Rangers,,,1.0,,2.0,,,,15.7,60.26,0
155,2,Monday,March,2009,05 Rabi’ al-Awwal 1430,Working Day,,,Pishin,30.5833,67,Balochistan,Killi Karbala village in Pishin district,Educational,Low,Closed,,Government Official,Sunni,5.0,6.0,5.0,12.0,1.0,,Civil hospital Quetta,18.76,65.768,0
156,11,Wednesday,March,2009,14 Rabi’ al-Awwal 1430,Working Day,,,Peshawar,34.0043,71.5448,KPK,sarki gate area in Nimak Mandi area-Peshawar,Market,Low,Open,"Inauguration  of an 
event by Sr Minister",Government Official,,4.0,5.0,,6.0,1.0,,Lady Reading Hospital,18.375,65.075,0
157,16,Monday,March,2009,19 Rabi’ al-Awwal 1430,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi cantt-Pirwadhi bus stand,Transport,Low,Open,,Civilian,,12.0,15.0,16.0,18.0,1.0,10 kg ,"DHQ Hospital RWP
2. Benazir Hospital RWP",20.875,69.575,0
158,23,Monday,March,2009,26 Rabi’ al-Awwal 1430,Holiday,Pakistan Day,,Islamabad,33.718,73.0718,Capital,sitara maket-special branch Police & Rangers gate,Police Rangers,High,Open,,Police_Rangers,,,2.0,,8.0,1.0,,,18.575,65.435,0
159,26,Thursday,March,2009,29 Rabi’ al-Awwal 1430,Working Day,,08:30:00,Tank,32.226,70.3761,KPK,road side restaurant opposite to military base in Jandola,Market,Low,Open,members of peace committe -members of Turkestan group,Anti_Militants,Sunni,7.0,15.0,,25.0,1.0,,Civil Hospital Tank,14.305,57.748999999999995,0
160,27,Friday,March,2009,30 Rabi’ al-Awwal 1430,Working Day,,,Khyber Agency,34.0211,71.2874,FATA,Mosque in Jamrood Tehsil on peshawar-turkham highway,Religious,Medium,Closed,,Religious,Sunni,70.0,76.0,100.0,175.0,1.0,,Peshwar Hospitals,18.595,65.471,0
161,30,Monday,March,2009,03 Rabi’ al-Thani 1430,Working Day,,,North waziristan,32.9746,70.1456,FATA,Mirzail checkpost-Miranshah,Mobile,High,Open,security forces convoy was passing from checkpost,Military,,,4.0,,9.0,1.0,,,14.415,57.946999999999996,0
162,4,Saturday,April,2009,08 Rabi’ al-Thani 1430,Working Day,Weekend,7.35 PM/7:37 PM,Islamabad,33.718,73.0718,Capital,"Margala Road Check Post
Islamabad",Military,High,Open,,Military,,,8.0,4.0,7.0,1.0,8Kg,"PIMS
Polyclinic",20.17,68.306,1
163,4,Saturday,April,2009,08 Rabi’ al-Thani 1430,Working Day,Weekend,,North waziristan,32.9746,70.1456,FATA,mirnshah security checkpost,Mobile,High,Open,military convoy was passing from checkpost,Military,,,8.0,,39.0,1.0,,,15.57,60.026,1
164,5,Sunday,April,2009,09 Rabi’ al-Thani 1430,Holiday,Weekend,12:30:00,Chakwal ,32.9303,72.8556,Punjab,Imambargah in Chakwal ,Religious,Medium,Closed,Shia Religious Gathering ,Religious,Shiite,22.0,27.0,40.0,60.0,1.0,,,20.555,68.999,1
165,15,Wednesday,April,2009,19 Rabi’ al-Thani 1430,Working Day,,Evening,Charsadda,34.1509,71.7359,KPK,"Harichand Police & Rangers Post-
Charsadda",Police Rangers,High,Open,,Police_Rangers,,16.0,18.0,5.0,10.0,1.0,100kg,CharsaddaDHQ/Tangi Hospital/JamalAbad hospital/PeshawarHospital,,,0
166,18,Saturday,April,2009,22 Rabi’ al-Thani 1430,Working Day,Weekend,3pm/4.15 pm,Hangu,33.5351,71.0713,KPK,Check Post close to Police & Rangers station in Doaba Area,Police Rangers,High,Open,,Police_Rangers,,21.0,27.0,26.0,65.0,1.0,100,Civil Hospital Hangu/ CMH Thall,21.175,70.115,1
167,5,Tuesday,May,2009,10 Jumada al-Ula 1430,Working Day,,MORNING,Peshawar,34.0043,71.5448,KPK,bara qadeem Check post-on peshawar-bara road-12km west of Peshawarcantt,Military,High,Open,,Military,,7.0,11.0,25.0,48.0,1.0,85,Khyber Teaching Hospital / Hayatabad Medical Complex,18.615,65.507,0
168,11,Monday,May,2009,16 Jumada al-Ula 1430,Working Day,,09:30:00,Dara Adam Khel,33.6854,71.5131,KPK,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena Police & Rangers station,Police Rangers,High,Open,,Police_Rangers,,10.0,11.0,20.0,27.0,1.0,,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",25.66,78.188,0
169,21,Thursday,May,2009,26 Jumada al-Ula 1430,Working Day,,Late Night/Evening,Tank,32.226,70.3761,KPK,FC fort in Jandola,Military,High,Open,FC camp,Military,,6.0,9.0,25.0,36.0,1.0,,CMH Dera/ TankHospitals,21.54,70.77199999999999,0
170,27,Wednesday,May,2009,03 Jumada al-Akhirah 1430,Working Day,,10.10 AM/10:30 AM,Lahore,31.5451,74.3407,Punjab,hit Police & Rangers checkpost outside Rescue 15 Office and country's premier intelligence agency,Police Rangers,High,Open,,Police_Rangers,,26.0,27.0,320.0,370.0,1.0,125 kg,Ganga Ram hospital / Meo/ Services Hospital,33.275,91.895,0
171,28,Thursday,May,2009,04 Jumada al-Akhirah 1430,Working Day,,5:40pm,Peshawar,34.0043,71.5448,KPK,"KohatRoad-Sira Khora-
Police & Rangers  Check Post ",Police Rangers,High,Open,,Police_Rangers,,3.0,5.0,3.0,9.0,1.0,5kg,"Lady Reading Hospital 
Peshawar",34.19,93.542,0
172,28,Thursday,May,2009,04 Jumada al-Akhirah 1430,Working Day,,,D.G Khan,31.8238,70.9095,KPK,checkpost on circular road,Police Rangers,High,Open,,Police_Rangers,,3.0,5.0,8.0,12.0,1.0,160,,29.085,84.353,0
173,5,Friday,June,2009,12 Jumada al-Akhirah 1430,Working Day,,Jummah prayer time,Upper Dir,35.1977,71.8749,FATA,Masjid in Hayagai Sharqai village,Religious,Medium,Closed,,Religious,Sunni,,40.0,50.0,70.0,1.0,,,23.36,74.048,0
174,6,Saturday,June,2009,13 Jumada al-Akhirah 1430,Working Day,Weekend,20:35:00,Islamabad,33.718,73.0718,Capital,Rescue 15 building in Islamabad,Police Rangers,High,Closed,Senior Police & Rangers Officials meeting,Police_Rangers,,2.0,2.0,4.0,5.0,1.0,,PIMS,26.235,79.223,1
175,9,Tuesday,June,2009,16 Jumada al-Akhirah 1430,Working Day,,10.30 pm,Peshawar,34.0043,71.5448,KPK,"Pearl Continental Hotel
Peshawar",Hotel,Medium,Closed,,Foreigner,,11.0,15.0,50.0,80.0,1.0,500 Kg,"Lady Reading Hospital 
Peshawar",29.325,84.785,0
176,11,Thursday,June,2009,18 Jumada al-Akhirah 1430,Working Day,,Thursday night ,Peshawar,34.0043,71.5448,KPK,ring road Latifabad-Peshawar,Police Rangers,High,Open,,Police_Rangers,,1.0,2.0,8.0,15.0,1.0,,LRH,30.935,87.68299999999999,0
177,12,Friday,June,2009,19 Jumada al-Akhirah 1430,Working Day,,After Friday prayers,Lahore,31.5451,74.3407,Punjab,Jamia Naeemia madrassa-Garhai Shahu area,Religious,Medium,Closed,,Religious,Sunni,5.0,7.0,5.0,12.0,1.0,24Kg,Mayo-Sir Ganga Ram Servuces-Jinnah Hospital,35.985,96.773,0
178,12,Friday,June,2009,19 Jumada al-Akhirah 1430,Working Day,,2.40 Pm,Nowshehra,34.0322,73.0944,KPK,military run Mosque in Nowshera Cantt-on supply depot morr,Religious,Medium,Closed,,Religious,Sunni,4.0,7.0,63.0,105.0,1.0,,contonment hospital-DHQ Hospital-PeshawarCMH,29.2,84.56,0
179,22,Monday,June,2009,29 Jumada al-Akhirah 1430,Working Day,,,Swat,35.3833,72.1833,KPK,Thakot Police & Rangers check-post in Battagram District.,Police Rangers,High,Open,,Police_Rangers,,,2.0,,7.0,,,,27.665,81.797,0
180,26,Friday,June,2009,03 Rajab 1430,Working Day,,6:00:00 AM/6:30:00 AM,Muzaffarabad,34.3597,73.4711,AJK,near non commisioned officers place-Muzaffarabad,Mobile,High,Open,,Military,,,2.0,3.0,4.0,1.0,,CMH Muzzafarabad,33.255,91.859,0
181,30,Tuesday,June,2009,07 Rajab 1430,Working Day,,,Khyber Agency,34.0211,71.2874,FATA,Quetta-Khi RCD highway-town of Torkham ,Foreign,High,Open,blew himself up while being searched at the pak-afghna checkpost,foreigner,Sunni,1.0,4.0,10.0,11.0,1.0,,,31.26,88.26799999999999,0
182,1,Wednesday,July,2009,08 Rajab 1430,Working Day,,,Peshawar,34.0043,71.5448,KPK,Mashokhel Mera Area-KohatRoad,Mobile,High,Open,,Unknown,,,1.0,,,1.0,,,30.385,86.693,0
183,2,Thursday,July,2009,09 Rajab 1430,Working Day,,4:30pm,Rawalpindi,33.6058,73.0437,Punjab,"KRL Bas at Chur Chowk
on Peshawarroad-rwp cantt",Mobile,High,Open,,Government official,,,1.0,25.0,40.0,1.0,10Kg,,27.29,81.122,0
184,8,Wednesday,July,2009,15 Rajab 1430,Working Day,,3:00am,Peshawar,34.0043,71.5448,KPK,nasir bagh road choongi bazar near Police & Rangers colony,Market,Low,Open,,Police_Rangers,,,1.0,2.0,5.0,1.0,20 Kg,,34.825,94.685,0
185,28,Tuesday,July,2009,06 Sha’ban 1430,Working Day,,,North Waziristan,32.9746,70.1456,KPK,Dirdony post on ghulam khan road-Near Miranshah,Police Rangers,High,Open,,Police_Rangers,,,2.0,3.0,5.0,1.0,,,27.485,81.473,0
186,13,Thursday,August,2009,22 Sha’ban 1430,Working Day,,,South Waziristan,32.3202,69.8597,FATA,wana bazar,Mobile,Low,Open,leader of Nawaz group-a group against taliban,Anti_Militants,Sunni,4.0,5.0,,,1.0,,,26.925,80.465,0
187,15,Saturday,August,2009,24 Sha’ban 1430,Working Day,Weekend,10:00:00,Swat,35.2227,72.4258,KPK,Check post in Khawazakhela- Char Bagh road near-waliabad village,Police Rangers,High,Open,,Police_Rangers,,3.0,5.0,,4.0,1.0,,Saidu Sharif hospital,32.845,91.12100000000001,1
188,16,Sunday,August,2009,25 Sha’ban 1430,Holiday,Weekend,,swat,35.2227,72.4258,KPK,security forces check point,Police Rangers,High,Open,,Police_Rangers,,,1.0,,3.0,1.0,,,29.985,85.973,1
